Respondent ID,Collector ID,Start Date,End Date,Do you think you will participate in the 2020 presidential primary?,What best describes your political beliefs?,Are you a registered voter?,Which race/ethnicity best describes you? (Please choose only one.),Who do you think you will vote for in the 2020 general election?,What should the consequences be for a public official who encourages a foreign power to intervene in an upcoming domestic election in their favor?,Impeachment is the first step in the process of removing a president from office. Do you think the House of Representatives should impeach President Trump?,How familiar would you say you are with the situation stemming from President Trump's conversation with Ukrainian President Zelensky related to Democratic candidate Joe Biden?,Do you believe launching a formal impeachment inquiry into President Trump will overall work out in Democrats' favor electorally?,Do you believe launching a formal impeachment inquiry into President Trump for soliciting foreign interference in a US election is the right thing to do?,Age,Gender,Household Income,Region,Device Type
11020524203,247023108,2019-09-25 22:24:36,2019-09-25 22:26:43,"Yes, I will likely vote in my state's Democratic primary or caucus",Moderately liberal,Yes,Hispanic or Latino,Probably the Democratic nominee,I think that merits investigation and possibly removal from office.,I strongly support impeachment,Somewhat familiar,Probably would,Probably yes,30-44,Female,"$10,000-$24,999",Middle Atlantic,Android Phone / Tablet
11020524134,247023108,2019-09-25 22:22:50,2019-09-25 22:24:56,"Yes, I will likely vote in my state's Democratic primary or caucus",Very liberal,No,White or Caucasian,Probably the Democratic nominee,I think that merits investigation and possibly removal from office.,I strongly support impeachment,Somewhat familiar,Probably would,Definitely yes,30-44,Female,"$25,000-$49,999",Pacific,iOS Phone / Tablet
11020523920,247023108,2019-09-25 22:20:33,2019-09-25 22:24:47,"No, I don't currently plan to vote in a major party's 2020 presidential primary or caucus",Neither liberal nor conservative,No,Hispanic or Latino,Neither / I don't intend to vote.,I think that merits investigation and possibly removal from office.,I neither support nor oppose impeachment,Not at all familiar,I don't know,I don't know,30-44,Female,"$100,000-$124,999",Pacific,iOS Phone / Tablet
11020523268,247023108,2019-09-25 22:22:41,2019-09-25 22:24:20,"No, I don't currently plan to vote in a major party's 2020 presidential primary or caucus",Neither liberal nor conservative,No,White or Caucasian,Neither / I don't intend to vote.,I don't know,I strongly support impeachment,Not at all familiar,Definitely would,Definitely yes,30-44,Female,"$10,000-$24,999",Middle Atlantic,iOS Phone / Tablet
11020522929,247023108,2019-09-25 22:21:56,2019-09-25 22:24:05,"Yes, I will likely vote in my state's Democratic primary or caucus",Moderately liberal,Yes,Black or African American,I'm not sure at this time,I think that merits investigation and possibly removal from office.,I strongly support impeachment,Somewhat familiar,Probably would,Definitely yes,18-29,Female,"$150,000-$174,999",South Atlantic,iOS Phone / Tablet
11020522920,247023108,2019-09-25 22:23:13,2019-09-25 22:26:50,"Yes, I will likely vote in my state's Democratic primary or caucus",Moderately liberal,Yes,Hispanic or Latino,Probably the Democratic nominee,I think that merits investigation and possibly removal from office.,I strongly support impeachment,Extremely familiar,Definitely would,Definitely yes,30-44,Female,"$50,000-$74,999",Middle Atlantic,iOS Phone / Tablet
11020522816,247023108,2019-09-25 22:23:31,2019-09-25 22:25:41,I don't know or I'd rather not say,I don't know or I'd rather not say,Yes,White or Caucasian,I'm not sure at this time,I don't know,I don't know,Not at all familiar,I don't know,I don't know,30-44,Female,Prefer not to answer,East South Central,iOS Phone / Tablet
11020522520,247023108,2019-09-25 22:21:04,2019-09-25 22:23:47,I don't know or I'd rather not say,Slightly conservative,Yes,White or Caucasian,I'm not sure at this time,"I think that merits investigation and possibly censure, penalties or discipline",I neither support nor oppose impeachment,Not so familiar,Probably would not,Probably yes,18-29,Female,"$10,000-$24,999",Mountain,Android Phone / Tablet
11020522231,247023108,2019-09-25 22:21:21,2019-09-25 22:23:37,"No, I don't currently plan to vote in a major party's 2020 presidential primary or caucus",I don't know or I'd rather not say,No,White or Caucasian,Neither / I don't intend to vote.,I think that merits investigation and possibly removal from office.,I don't know,Not so familiar,Probably would,I don't know,30-44,Female,"$25,000-$49,999",East South Central,Android Phone / Tablet
11020522136,247023108,2019-09-25 22:21:33,2019-09-25 22:23:34,I don't know or I'd rather not say,Very liberal,Unsure / Don’t know,Asian or Asian American,I'm not sure at this time,I don't know,I don't know,Not so familiar,I don't know,I don't know,30-44,Female,"$25,000-$49,999",South Atlantic,Android Phone / Tablet
11020521710,247023108,2019-09-25 22:20:13,2019-09-25 22:23:16,"Yes, I will likely vote in my state's Democratic primary or caucus",Very liberal,Yes,White or Caucasian,Probably the Democratic nominee,I think that merits investigation and possibly removal from office.,I strongly support impeachment,Very familiar,Probably would,Definitely yes,30-44,Female,"$50,000-$74,999",Pacific,iOS Phone / Tablet
11020521581,247023108,2019-09-25 22:21:10,2019-09-25 22:23:10,"Yes, I will likely vote in my state's Republican primary or caucus",Slightly conservative,Yes,Asian or Asian American,Probably the Republican nominee,I do not think that warrants any action,I oppose impeachment,Somewhat familiar,Definitely would,Definitely yes,30-44,Female,"$75,000-$99,999",Mountain,Android Phone / Tablet
11020520976,247023108,2019-09-25 22:20:58,2019-09-25 22:22:46,"Yes, I will likely vote in my state's Democratic primary or caucus",Neither liberal nor conservative,Yes,White or Caucasian,Probably the Democratic nominee,"I think that merits investigation and possibly censure, penalties or discipline",I support impeachment,Somewhat familiar,Probably would,Probably yes,18-29,Female,"$75,000-$99,999",Mountain,iOS Phone / Tablet
11020520864,247023108,2019-09-25 22:20:54,2019-09-25 22:22:42,"Yes, I will likely vote in my state's Democratic primary or caucus",I don't know or I'd rather not say,Yes,Hispanic or Latino,Probably the Democratic nominee,"I think that merits investigation and possibly censure, penalties or discipline",I neither support nor oppose impeachment,Somewhat familiar,Probably would not,I don't know,18-29,Male,"$50,000-$74,999",Mountain,Android Phone / Tablet
11020520413,247023108,2019-09-25 22:20:52,2019-09-25 22:22:24,"Yes, I will likely vote in my state's Republican primary or caucus",Moderately conservative,Yes,White or Caucasian,I'm not sure at this time,"I think that merits investigation and possibly censure, penalties or discipline",I support impeachment,Somewhat familiar,Probably would,Probably yes,18-29,Female,"$50,000-$74,999",West North Central,iOS Phone / Tablet
11020520382,247023108,2019-09-25 22:20:55,2019-09-25 22:22:23,"Yes, I will likely vote in my state's Democratic primary or caucus",Moderately liberal,Yes,White or Caucasian,Probably the Democratic nominee,I think that merits investigation and possibly removal from office.,I support impeachment,Extremely familiar,Definitely would,Probably yes,18-29,Female,"$25,000-$49,999",West North Central,iOS Phone / Tablet
11020520231,247023108,2019-09-25 22:17:25,2019-09-25 22:22:15,"No, I don't currently plan to vote in a major party's 2020 presidential primary or caucus",Very liberal,Yes,White or Caucasian,I'm not sure at this time,I don't know,I strongly support impeachment,Not at all familiar,Probably would,I don't know,30-44,Female,"$25,000-$49,999",South Atlantic,iOS Phone / Tablet
11020520203,247023108,2019-09-25 22:21:48,2019-09-25 22:24:32,"Yes, I will likely vote in my state's Democratic primary or caucus",Very liberal,Yes,White or Caucasian,Probably the Democratic nominee,I think that merits investigation and possibly removal from office.,I strongly support impeachment,Somewhat familiar,Probably would,Definitely yes,30-44,Female,"$100,000-$124,999",West North Central,Windows Desktop / Laptop
11020520015,247023108,2019-09-25 22:20:09,2019-09-25 22:22:08,"Yes, I will likely vote in my state's Republican primary or caucus",Moderately conservative,No,White or Caucasian,Probably the Republican nominee,"I think that merits investigation and possibly censure, penalties or discipline",I oppose impeachment,Somewhat familiar,Probably would not,Probably not,30-44,Female,"$50,000-$74,999",East South Central,iOS Phone / Tablet
11020519793,247023108,2019-09-25 22:16:40,2019-09-25 22:21:58,"Yes, I will likely vote in my state's Democratic primary or caucus",Moderately liberal,Yes,White or Caucasian,Neither / I don't intend to vote.,"I think that merits investigation and possibly censure, penalties or discipline",I oppose impeachment,Somewhat familiar,Definitely would not,Probably yes,30-44,Male,"$25,000-$49,999",Pacific,Android Phone / Tablet
11020519768,247023108,2019-09-25 22:18:08,2019-09-25 22:20:33,"Yes, I will likely vote in my state's Democratic primary or caucus",Very liberal,Yes,White or Caucasian,Probably the Democratic nominee,I think that merits investigation and possibly removal from office.,I strongly support impeachment,Not so familiar,I don't know,Definitely yes,30-44,Female,"$50,000-$74,999",West North Central,Android Phone / Tablet
11020519757,247023108,2019-09-25 22:21:11,2019-09-25 22:21:59,"Yes, I will likely vote in my state's Democratic primary or caucus",I don't know or I'd rather not say,Yes,White or Caucasian,Probably the Democratic nominee,,,,,,,,,,
11020519735,247023108,2019-09-25 22:21:11,2019-09-25 22:21:57,"No, I don't currently plan to vote in a major party's 2020 presidential primary or caucus",I don't know or I'd rather not say,Unsure / Don’t know,White or Caucasian,I'm not sure at this time,I don't know,I don't know,Not at all familiar,I don't know,I don't know,30-44,Female,"$50,000-$74,999",South Atlantic,iOS Phone / Tablet
11020519464,247023108,2019-09-25 22:18:33,2019-09-25 22:22:18,"Yes, I will likely vote in my state's Democratic primary or caucus",Slightly conservative,Yes,Black or African American,I'm not sure at this time,I don't know,I strongly support impeachment,Not so familiar,Probably would,Definitely yes,30-44,Female,"$50,000-$74,999",South Atlantic,Android Phone / Tablet
11020519085,247023108,2019-09-25 22:19:52,2019-09-25 22:23:41,"No, I don't currently plan to vote in a major party's 2020 presidential primary or caucus",I don't know or I'd rather not say,No,Black or African American,Neither / I don't intend to vote.,I don't know,I don't know,Not at all familiar,I don't know,I don't know,18-29,Male,"$0-$9,999",West North Central,Android Phone / Tablet
11020518818,247023108,2019-09-25 22:19:58,2019-09-25 22:21:19,"Yes, I will likely vote in my state's Democratic primary or caucus",Moderately conservative,Yes,Hispanic or Latino,Probably the Democratic nominee,I think that merits investigation and possibly removal from office.,I strongly oppose impeachment,Not so familiar,Definitely would not,Definitely not,18-29,Male,"$10,000-$24,999",South Atlantic,iOS Phone / Tablet
11020518803,247023108,2019-09-25 22:20:40,2019-09-25 22:23:45,"Yes, I will likely vote in my state's Democratic primary or caucus",Neither liberal nor conservative,Yes,Asian or Asian American,Probably the Democratic nominee,I think that merits investigation and possibly removal from office.,I strongly support impeachment,Not at all familiar,Definitely would,Definitely yes,45-60,Male,Prefer not to answer,Pacific,Android Phone / Tablet
11020518485,247023108,2019-09-25 22:20:27,2019-09-25 22:25:16,"Yes, I will likely vote in my state's Democratic primary or caucus",Slightly liberal,Yes,White or Caucasian,Probably the Democratic nominee,I think that merits investigation and possibly removal from office.,I strongly support impeachment,Extremely familiar,Probably would,Definitely yes,30-44,Female,"$25,000-$49,999",East South Central,Android Phone / Tablet
11020518463,247023108,2019-09-25 22:17:15,2019-09-25 22:21:06,"Yes, I will likely vote in my state's Democratic primary or caucus",Moderately liberal,Yes,Asian or Asian American,Probably the Democratic nominee,I think that merits investigation and possibly removal from office.,I strongly support impeachment,Very familiar,Definitely would,Definitely yes,18-29,Female,"$50,000-$74,999",Pacific,iOS Phone / Tablet
11020517904,247023108,2019-09-25 22:19:09,2019-09-25 22:20:45,"No, I don't currently plan to vote in a major party's 2020 presidential primary or caucus",I don't know or I'd rather not say,No,Asian or Asian American,I'm not sure at this time,I think that merits investigation and possibly removal from office.,I strongly support impeachment,Somewhat familiar,Probably would,Definitely yes,18-29,Female,"$50,000-$74,999",Pacific,iOS Phone / Tablet
11020517715,247023108,2019-09-25 22:16:40,2019-09-25 22:20:38,"Yes, I will likely vote in my state's Democratic primary or caucus",Slightly liberal,Yes,White or Caucasian,I'm not sure at this time,I think the matter should be looked into but don't see any immediate issue,I oppose impeachment,Very familiar,Definitely would not,Definitely not,30-44,Male,"$50,000-$74,999",Pacific,Android Phone / Tablet
11020517197,247023108,2019-09-25 22:17:05,2019-09-25 22:20:18,"Yes, I will likely vote in my state's Democratic primary or caucus",Moderately liberal,Yes,Hispanic or Latino,Probably the Democratic nominee,I think that merits investigation and possibly removal from office.,I strongly support impeachment,Somewhat familiar,I don't know,Definitely yes,18-29,Female,"$100,000-$124,999",Middle Atlantic,iOS Phone / Tablet
11020517151,247023108,2019-09-25 22:16:59,2019-09-25 22:20:15,"Yes, I will likely vote in my state's Democratic primary or caucus",Moderately liberal,Yes,White or Caucasian,Probably the Democratic nominee,"I think that merits investigation and possibly censure, penalties or discipline",I support impeachment,Not so familiar,Probably would not,Probably yes,30-44,Female,"$50,000-$74,999",New England,Android Phone / Tablet
11020516821,247023108,2019-09-25 22:17:23,2019-09-25 22:20:02,"Yes, I will likely vote in my state's Democratic primary or caucus",I don't know or I'd rather not say,Yes,Black or African American,I'm not sure at this time,"I think that merits investigation and possibly censure, penalties or discipline",I strongly support impeachment,Somewhat familiar,I don't know,Probably yes,18-29,Female,"$50,000-$74,999",East North Central,iOS Phone / Tablet
11020516170,247023108,2019-09-25 22:16:49,2019-09-25 22:19:36,"Yes, I will likely vote in my state's Republican primary or caucus",Very conservative,Yes,White or Caucasian,Probably the Republican nominee,I think the matter should be looked into but don't see any immediate issue,I oppose impeachment,Not so familiar,Definitely would not,Probably not,18-29,Female,"$25,000-$49,999",West North Central,iOS Phone / Tablet
11020515975,247023108,2019-09-25 22:18:28,2019-09-25 22:23:57,"Yes, I will likely vote in my state's Republican primary or caucus",Moderately conservative,Yes,White or Caucasian,I'm not sure at this time,I think that merits investigation and possibly removal from office.,I oppose impeachment,Somewhat familiar,Probably would not,Probably yes,30-44,Female,"$75,000-$99,999",West South Central,iOS Phone / Tablet
11020515889,247023108,2019-09-25 22:16:25,2019-09-25 22:19:25,"No, I don't currently plan to vote in a major party's 2020 presidential primary or caucus",I don't know or I'd rather not say,No,White or Caucasian,Neither / I don't intend to vote.,I don't know,I don't know,Not so familiar,I don't know,I don't know,18-29,Female,"$25,000-$49,999",Mountain,Android Phone / Tablet
11020515764,247023108,2019-09-25 22:17:13,2019-09-25 22:19:19,"Yes, I will likely vote in my state's Democratic primary or caucus",Moderately liberal,Yes,White or Caucasian,Probably the Democratic nominee,I think that merits investigation and possibly removal from office.,I neither support nor oppose impeachment,Very familiar,Probably would not,Probably yes,30-44,Female,"$75,000-$99,999",Pacific,iOS Phone / Tablet
11020515408,247023108,2019-09-25 22:17:02,2019-09-25 22:19:03,"Yes, I will likely vote in my state's Republican primary or caucus",Moderately conservative,Yes,White or Caucasian,I'm not sure at this time,I think that merits investigation and possibly removal from office.,I neither support nor oppose impeachment,Not at all familiar,Definitely would not,Probably not,18-29,Female,"$25,000-$49,999",South Atlantic,iOS Phone / Tablet
11020514751,247023108,2019-09-25 22:16:35,2019-09-25 22:18:36,"Yes, I will likely vote in my state's Democratic primary or caucus",Moderately liberal,Yes,White or Caucasian,Probably the Democratic nominee,I think that merits investigation and possibly removal from office.,I strongly support impeachment,Somewhat familiar,Probably would,Probably yes,18-29,Female,"$25,000-$49,999",West North Central,iOS Phone / Tablet
11020514570,247023108,2019-09-25 22:18:02,2019-09-25 22:20:17,"Yes, I will likely vote in my state's Democratic primary or caucus",Moderately liberal,Yes,Hispanic or Latino,Probably the Democratic nominee,I think that merits investigation and possibly removal from office.,I support impeachment,Extremely familiar,I don't know,Probably yes,18-29,Female,"$25,000-$49,999",Middle Atlantic,Android Phone / Tablet
11020514126,247023108,2019-09-25 22:15:31,2019-09-25 22:18:11,"Yes, I will likely vote in my state's Democratic primary or caucus",Very liberal,Yes,Asian or Asian American,Probably the Democratic nominee,I think that merits investigation and possibly removal from office.,I strongly support impeachment,Very familiar,Definitely would,Definitely yes,18-29,Female,"$100,000-$124,999",Pacific,iOS Phone / Tablet
11020514110,247023108,2019-09-25 22:17:33,2019-09-25 22:20:17,"Yes, I will likely vote in my state's Republican primary or caucus",Very conservative,Yes,White or Caucasian,Probably the Republican nominee,I think the matter should be looked into but don't see any immediate issue,I oppose impeachment,Extremely familiar,Definitely would not,Definitely not,45-60,Male,"$175,000-$199,999",New England,iOS Phone / Tablet
11020513816,247023108,2019-09-25 22:17:07,2019-09-25 22:17:58,"Yes, I will likely vote in my state's Democratic primary or caucus",Slightly conservative,Yes,White or Caucasian,Probably the Republican nominee,I think the matter should be looked into but don't see any immediate issue,I oppose impeachment,Very familiar,Probably would not,Probably yes,30-44,Female,"$0-$9,999",South Atlantic,Android Phone / Tablet
11020513233,247023108,2019-09-25 22:17:05,2019-09-25 22:17:35,"Yes, I will likely vote in my state's Republican primary or caucus",Slightly conservative,Yes,White or Caucasian,Probably the Republican nominee,I think that merits investigation and possibly removal from office.,I strongly oppose impeachment,Very familiar,Definitely would,Probably yes,18-29,Female,"$10,000-$24,999",East North Central,iOS Phone / Tablet
11020513208,247023108,2019-09-25 22:13:06,2019-09-25 22:17:34,"Yes, I will likely vote in my state's Republican primary or caucus",Moderately liberal,Yes,White or Caucasian,Probably the Democratic nominee,I think that merits investigation and possibly removal from office.,I support impeachment,Very familiar,Probably would,Definitely yes,> 60,Female,"$10,000-$24,999",Middle Atlantic,Android Phone / Tablet
11020513170,247023108,2019-09-25 22:16:47,2019-09-25 22:21:59,"Yes, I will likely vote in my state's Democratic primary or caucus",Very liberal,Yes,White or Caucasian,Probably the Democratic nominee,I think that merits investigation and possibly removal from office.,I strongly support impeachment,Somewhat familiar,Probably would,Definitely yes,> 60,Female,"$175,000-$199,999",East North Central,iOS Phone / Tablet
11020513148,247023108,2019-09-25 22:13:07,2019-09-25 22:17:31,I don't know or I'd rather not say,Neither liberal nor conservative,Unsure / Don’t know,White or Caucasian,Probably the Democratic nominee,I think the matter should be looked into but don't see any immediate issue,I strongly oppose impeachment,Somewhat familiar,I don't know,Probably not,45-60,Female,Prefer not to answer,Middle Atlantic,iOS Phone / Tablet
11020510917,247023108,2019-09-25 22:15:58,2019-09-25 22:16:38,"Yes, I will likely vote in my state's Republican primary or caucus",Very liberal,Yes,White or Caucasian,Probably the Republican nominee,I think that merits investigation and possibly removal from office.,I support impeachment,Extremely familiar,Definitely would,Probably yes,30-44,Female,"$25,000-$49,999",South Atlantic,Android Phone / Tablet
11020510733,247023108,2019-09-25 22:15:22,2019-09-25 22:18:21,"Yes, I will likely vote in my state's Democratic primary or caucus",Moderately liberal,Yes,White or Caucasian,Probably the Democratic nominee,I think that merits investigation and possibly removal from office.,I support impeachment,Somewhat familiar,Probably would not,Probably yes,18-29,Female,"$125,000-$149,999",East North Central,iOS Phone / Tablet
11020509710,247023108,2019-09-25 22:12:51,2019-09-25 22:15:15,"No, I don't currently plan to vote in a major party's 2020 presidential primary or caucus",Slightly liberal,No,Black or African American,Neither / I don't intend to vote.,"I think that merits investigation and possibly censure, penalties or discipline",I support impeachment,Not at all familiar,Probably would not,Probably not,18-29,Female,"$0-$9,999",West South Central,iOS Phone / Tablet
11020509640,247023108,2019-09-25 22:12:24,2019-09-25 22:15:12,"Yes, I will likely vote in my state's Democratic primary or caucus",Neither liberal nor conservative,Yes,Black or African American,Probably the Democratic nominee,I think that merits investigation and possibly removal from office.,I strongly support impeachment,Somewhat familiar,I don't know,I don't know,> 60,Male,"$50,000-$74,999",Pacific,Android Phone / Tablet
11020509470,247023108,2019-09-25 22:09:53,2019-09-25 22:15:06,"Yes, I will likely vote in my state's Democratic primary or caucus",Moderately liberal,Yes,White or Caucasian,Probably the Democratic nominee,"I think that merits investigation and possibly censure, penalties or discipline",I support impeachment,Not so familiar,Probably would not,Probably yes,30-44,Male,"$50,000-$74,999",Mountain,iOS Phone / Tablet
11020508893,247023108,2019-09-25 22:12:39,2019-09-25 22:14:44,"Yes, I will likely vote in my state's Republican primary or caucus",Neither liberal nor conservative,Yes,White or Caucasian,Probably the Republican nominee,"I think that merits investigation and possibly censure, penalties or discipline",I oppose impeachment,Extremely familiar,Definitely would not,Definitely not,30-44,Male,"$25,000-$49,999",Mountain,iOS Phone / Tablet
11020507340,247023108,2019-09-25 22:13:01,2019-09-25 22:16:33,I don't know or I'd rather not say,Very liberal,No,White or Caucasian,Probably the Democratic nominee,I think that merits investigation and possibly removal from office.,I strongly support impeachment,Somewhat familiar,Probably would not,Definitely yes,45-60,Female,Prefer not to answer,,iOS Phone / Tablet
11020507046,247023108,2019-09-25 22:09:56,2019-09-25 22:13:29,"Yes, I will likely vote in my state's Republican primary or caucus",Very conservative,Yes,White or Caucasian,Probably the Republican nominee,I do not think that warrants any action,I strongly oppose impeachment,Extremely familiar,Definitely would not,Definitely not,45-60,Female,"$100,000-$124,999",East North Central,Android Phone / Tablet
11020506412,247023108,2019-09-25 22:10:53,2019-09-25 22:13:08,"Yes, I will likely vote in my state's Democratic primary or caucus",Neither liberal nor conservative,Yes,White or Caucasian,Probably the Democratic nominee,I think the matter should be looked into but don't see any immediate issue,I strongly support impeachment,Very familiar,Definitely would,Probably yes,45-60,Male,"$75,000-$99,999",Mountain,Android Phone / Tablet
11020505759,247023108,2019-09-25 22:10:42,2019-09-25 22:12:43,I don't know or I'd rather not say,Slightly conservative,No,Asian or Asian American,Probably the Democratic nominee,"I think that merits investigation and possibly censure, penalties or discipline",I neither support nor oppose impeachment,Somewhat familiar,Probably would,Probably yes,30-44,Female,"$25,000-$49,999",East North Central,iOS Phone / Tablet
11020505482,247023108,2019-09-25 22:10:39,2019-09-25 22:12:33,"Yes, I will likely vote in my state's Democratic primary or caucus",Slightly conservative,Yes,White or Caucasian,I'm not sure at this time,I think that merits investigation and possibly removal from office.,I strongly oppose impeachment,Somewhat familiar,I don't know,I don't know,30-44,Female,"$75,000-$99,999",Mountain,Android Phone / Tablet
11020504713,247023108,2019-09-25 22:06:52,2019-09-25 22:12:02,I don't know or I'd rather not say,Slightly liberal,Yes,White or Caucasian,I'm not sure at this time,I think that merits investigation and possibly removal from office.,I strongly support impeachment,Somewhat familiar,I don't know,Definitely yes,45-60,Female,"$25,000-$49,999",South Atlantic,Android Phone / Tablet
11020503674,247023108,2019-09-25 22:07:55,2019-09-25 22:11:24,"Yes, I will likely vote in my state's Democratic primary or caucus",Moderately liberal,Yes,White or Caucasian,Probably the Democratic nominee,I think that merits investigation and possibly removal from office.,I support impeachment,Extremely familiar,Probably would,Definitely yes,45-60,Male,"$75,000-$99,999",Mountain,Android Phone / Tablet
11020501074,247023108,2019-09-25 22:07:28,2019-09-25 22:09:42,"Yes, I will likely vote in my state's Democratic primary or caucus",Moderately liberal,Yes,White or Caucasian,Probably the Democratic nominee,I think that merits investigation and possibly removal from office.,I neither support nor oppose impeachment,Somewhat familiar,I don't know,Probably yes,30-44,Female,"$75,000-$99,999",West North Central,iOS Phone / Tablet
11020500955,247023108,2019-09-25 22:04:08,2019-09-25 22:07:48,"No, I don't currently plan to vote in a major party's 2020 presidential primary or caucus",Moderately conservative,No,White or Caucasian,I'm not sure at this time,I think that merits investigation and possibly removal from office.,I oppose impeachment,Somewhat familiar,Probably would,Probably not,30-44,Female,Prefer not to answer,West South Central,Android Phone / Tablet
11020500576,247023108,2019-09-25 22:06:54,2019-09-25 22:09:25,"No, I don't currently plan to vote in a major party's 2020 presidential primary or caucus",Neither liberal nor conservative,No,White or Caucasian,Neither / I don't intend to vote.,I think that merits investigation and possibly removal from office.,I strongly support impeachment,Not so familiar,I don't know,I don't know,45-60,Female,"$25,000-$49,999",West North Central,iOS Phone / Tablet
11020498352,247023108,2019-09-25 22:07:36,2019-09-25 22:08:05,"No, I don't currently plan to vote in a major party's 2020 presidential primary or caucus",Moderately liberal,No,American Indian or Alaska Native,Probably the Republican nominee,I think the matter should be looked into but don't see any immediate issue,I oppose impeachment,Somewhat familiar,Definitely would,Probably not,18-29,Male,"$25,000-$49,999",Pacific,iOS Phone / Tablet
11020497549,247023108,2019-09-25 22:06:01,2019-09-25 22:07:34,"Yes, I will likely vote in my state's Republican primary or caucus",Neither liberal nor conservative,Yes,White or Caucasian,Probably the Republican nominee,I think that merits investigation and possibly removal from office.,I support impeachment,Not so familiar,Probably would not,Probably yes,18-29,Male,"$25,000-$49,999",East North Central,iOS Phone / Tablet
11020496767,247023108,2019-09-25 18:48:18,2019-09-25 22:07:03,"Yes, I will likely vote in my state's Democratic primary or caucus",Slightly liberal,Yes,Hispanic or Latino,Probably the Democratic nominee,I think that merits investigation and possibly removal from office.,I strongly support impeachment,Very familiar,Definitely would,Definitely yes,18-29,Female,"$50,000-$74,999",Pacific,Android Phone / Tablet
11020496619,247023108,2019-09-25 22:06:05,2019-09-25 22:11:14,"Yes, I will likely vote in my state's Republican primary or caucus",Moderately conservative,Yes,White or Caucasian,Probably the Republican nominee,I think that merits investigation and possibly removal from office.,I strongly oppose impeachment,Very familiar,Definitely would not,Definitely not,45-60,Male,"$75,000-$99,999",East South Central,Android Phone / Tablet
11020496311,247023108,2019-09-25 21:57:21,2019-09-25 22:06:48,I don't know or I'd rather not say,Very conservative,No,White or Caucasian,Probably the Republican nominee,I don't know,I neither support nor oppose impeachment,Not at all familiar,I don't know,Definitely not,18-29,Male,Prefer not to answer,Middle Atlantic,iOS Phone / Tablet
11020496131,247023108,2019-09-25 22:01:58,2019-09-25 22:06:42,I don't know or I'd rather not say,I don't know or I'd rather not say,Yes,White or Caucasian,I'm not sure at this time,I do not think that warrants any action,I strongly oppose impeachment,Very familiar,Definitely would not,Probably not,> 60,Male,"$50,000-$74,999",Mountain,iOS Phone / Tablet
11020495124,247023108,2019-09-25 22:04:01,2019-09-25 22:10:15,"Yes, I will likely vote in my state's Democratic primary or caucus",Moderately liberal,Yes,Hispanic or Latino,Probably the Democratic nominee,I think that merits investigation and possibly removal from office.,I support impeachment,Very familiar,Probably would,Definitely yes,45-60,Female,"$75,000-$99,999",South Atlantic,MacOS Desktop / Laptop
11020494075,247023108,2019-09-25 22:04:54,2019-09-25 22:05:24,"No, I don't currently plan to vote in a major party's 2020 presidential primary or caucus",Moderately conservative,Yes,Black or African American,Probably the Democratic nominee,"I think that merits investigation and possibly censure, penalties or discipline",I oppose impeachment,Somewhat familiar,Definitely would not,Probably yes,30-44,Female,Prefer not to answer,West North Central,iOS Phone / Tablet
11020493520,247023108,2019-09-25 22:00:49,2019-09-25 22:05:02,"No, I don't currently plan to vote in a major party's 2020 presidential primary or caucus",Neither liberal nor conservative,Yes,White or Caucasian,Neither / I don't intend to vote.,I think that merits investigation and possibly removal from office.,I don't know,Not at all familiar,I don't know,I don't know,45-60,Female,"$25,000-$49,999",New England,iOS Phone / Tablet
11020491881,247023108,2019-09-25 22:03:12,2019-09-25 22:04:00,"Yes, I will likely vote in my state's Democratic primary or caucus",Very liberal,Yes,Asian or Asian American,Probably the Democratic nominee,I think that merits investigation and possibly removal from office.,I oppose impeachment,Somewhat familiar,Probably would,Probably not,18-29,Male,"$125,000-$149,999",Pacific,iOS Phone / Tablet
11020491665,247023108,2019-09-25 22:02:24,2019-09-25 22:03:52,"Yes, I will likely vote in my state's Democratic primary or caucus",Very liberal,Yes,Asian or Asian American,Probably the Republican nominee,I think that merits investigation and possibly removal from office.,I strongly support impeachment,Not so familiar,Definitely would,Definitely yes,30-44,Female,"$200,000+",West North Central,iOS Phone / Tablet
11020489008,247023108,2019-09-25 21:58:51,2019-09-25 22:02:09,"Yes, I will likely vote in my state's Democratic primary or caucus",Slightly liberal,Yes,Black or African American,I'm not sure at this time,I don't know,I neither support nor oppose impeachment,Not so familiar,Probably would not,Probably not,45-60,Male,"$50,000-$74,999",South Atlantic,Android Phone / Tablet
11020488597,247023108,2019-09-25 22:00:15,2019-09-25 22:01:58,"No, I don't currently plan to vote in a major party's 2020 presidential primary or caucus",I don't know or I'd rather not say,No,White or Caucasian,Neither / I don't intend to vote.,I think that merits investigation and possibly removal from office.,I neither support nor oppose impeachment,Not at all familiar,I don't know,I don't know,18-29,Female,"$10,000-$24,999",South Atlantic,Android Phone / Tablet
11020488591,247023108,2019-09-25 22:00:12,2019-09-25 22:01:58,"Yes, I will likely vote in my state's Democratic primary or caucus",Moderately liberal,Yes,Hispanic or Latino,Probably the Democratic nominee,I think that merits investigation and possibly removal from office.,I neither support nor oppose impeachment,Somewhat familiar,Definitely would,Definitely yes,30-44,Female,"$25,000-$49,999",Pacific,iOS Phone / Tablet
